Penguin,Penguin,企鹅,,,,,,,,,,,,,,,,
Epsilon,Epsilon,伊普西龙,,,,,,,,,,,,,,,,
Uno,Uno,优诺牌,,,,,,,,,,,,,,,,
Leaflet,Leaflet,传单,,,,,,,,,,,,,,,,
Portals,Portals,传送门,,,,,,,,,,,,,,,,
London bridge,London bridge,伦敦桥,,,,,,,,,,,,,,,,
Queue,Queue,伫列,,,,,,,,,,,,,,,,
Earl,Earl,伯爵,,,,,,,,,,,,,,,,
Gamma,Gamma,伽玛,,,,,,,,,,,,,,,,
Bass flute,Bass flute,低音长笛,,,,,,,,,,,,,,,,
Bass drum,Bass drum,低音鼓,,,,,,,,,,,,,,,,
Bass Drum,Bass Drum,低音鼓,,,,,,,,,,,,,,,,
Physical exam,Physical exam,体检,,,,,,,,,,,,,,,,
Stadium,Stadium,体育场,,,,,,,,,,,,,,,,
Ember,Ember,余烬,,,,,,,,,,,,,,,,
Focaccia,Focaccia,佛卡夏,,,,,,,,,,,,,,,,
Pagoda,Pagoda,佛塔,,,,,,,,,,,,,,,,
Paisley,Paisley,佩斯利,,,,,,,,,,,,,,,,
Paisley,Paisley,佩斯利纹,,,,,,,,,,,,,,,,
Petra,Petra,佩特拉古城,,,,,,,,,,,,,,,,
Poo,Poo,便便,,,,,,,,,,,,,,,,
Night store,Night store,便利店,,,,,,,,,,,,,,,,
Penny,Penny,便士,,,,,,,,,,,,,,,,
Russian,Russian,俄语,,,,,,,,,,,,,,,,
Save,Save,保存,,,,,,,,,,,,,,,,
Janitor,Janitor,保洁员,,,,,,,,,,,,,,,,
Fuse,Fuse,保险丝,,,,,,,,,,,,,,,,
Strongbox,Strongbox,保险箱,,,,,,,,,,,,,,,,
Safe,Safe,保险箱,,,,,,,,,,,,,,,,
Letter,Letter,信件,,,,,,,,,,,,,,,,
Signal,Signal,信号,,,,,,,,,,,,,,,,
Flare,Flare,信号弹,,,,,,,,,,,,,,,,
Flare buoy,Flare buoy,信号浮标,,,,,,,,,,,,,,,,
Beacon,Beacon,信标,,,,,,,,,,,,,,,,
Credit card,Credit card,信用卡,,,,,,,,,,,,,,,,
Abbey,Abbey,修道院,,,,,,,,,,,,,,,,
Push-up,Push-up,俯卧撑,,,,,,,,,,,,,,,,
Club,Club,俱乐部,,,,,,,,,,,,,,,,
Wig,Wig,假发,,,,,,,,,,,,,,,,
Fake beard,Fake beard,假胡子,,,,,,,,,,,,,,,,
Stop,Stop,停止,,,,,,,,,,,,,,,,
Stop icon,Stop icon,停止图示,,,,,,,,,,,,,,,,
Stop button,Stop button,停止按钮,,,,,,,,,,,,,,,,
Stop,Stop,停止标志,,,,,,,,,,,,,,,,
Evening,Evening,傍晚,,,,,,,,,,,,,,,,
Locker,Locker,储物柜,,,,,,,,,,,,,,,,
Monks,Monks,僧侣鞋,,,,,,,,,,,,,,,,
Zombie,Zombie,僵尸,,,,,,,,,,,,,,,,
Dugong,Dugong,儒艮,,,,,,,,,,,,,,,,
Child,Child,儿童,,,,,,,,,,,,,,,,
Kids bed,Kids bed,儿童床,,,,,,,,,,,,,,,,
Air mattress,Air mattress,充气床垫,,,,,,,,,,,,,,,,
Charger,Charger,充电器,,,,,,,,,,,,,,,,
Power bank,Power bank,充电宝,,,,,,,,,,,,,,,,
Photon,Photon,光子,,,,,,,,,,,,,,,,
Halo,Halo,光晕,,,,,,,,,,,,,,,,
Cleopatra,Cleopatra,克利奥帕特拉,,,,,,,,,,,,,,,,
Claus,Claus,克劳斯,,,,,,,,,,,,,,,,
Claddagh,Claddagh,克拉达戒指,,,,,,,,,,,,,,,,
Clotho,Clotho,克洛托,,,,,,,,,,,,,,,,
Claymore,Claymore,克莱莫剑,,,,,,,,,,,,,,,,
Duty-free,Duty-free,免税店,,,,,,,,,,,,,,,,
Rabbit,Rabbit,兔子,,,,,,,,,,,,,,,,
Rabbit track,Rabbit track,兔子的足迹,,,,,,,,,,,,,,,,
Burglary,Burglary,入室盗窃,,,,,,,,,,,,,,,,
Eight,Eight,八,,,,,,,,,,,,,,,,
Trigram,Trigram,八卦,,,,,,,,,,,,,,,,
Pug,Pug,八哥犬,,,,,,,,,,,,,,,,
Mustache,Mustache,八字胡,,,,,,,,,,,,,,,,
Octagon,Octagon,八边形,,,,,,,,,,,,,,,,
Octet,Octet,八重奏,,,,,,,,,,,,,,,,
Flat,Flat,公寓,,,,,,,,,,,,,,,,
Bull,Bull,公牛,,,,,,,,,,,,,,,,
Hog,Hog,公猪,,,,,,,,,,,,,,,,
Ram,Ram,公羊,,,,,,,,,,,,,,,,
Road,Road,公路,,,,,,,,,,,,,,,,
Bus,Bus,公车,,,,,,,,,,,,,,,,
Rooster,Rooster,公鸡,,,,,,,,,,,,,,,,
Six,Six,六,,,,,,,,,,,,,,,,
Sextant,Sextant,六分仪,,,,,,,,,,,,,,,,
Junebug,Junebug,六月金龟,,,,,,,,,,,,,,,,
Hexagram,Hexagram,六芒星,,,,,,,,,,,,,,,,
Hexagon,Hexagon,六边形,,,,,,,,,,,,,,,,
Sextet,Sextet,六重奏,,,,,,,,,,,,,,,,
Orchid,Orchid,兰花,,,,,,,,,,,,,,,,
Pawn,Pawn,兵,,,,,,,,,,,,,,,,
RAM PC,RAM PC,内存,,,,,,,,,,,,,,,,
Panties,Panties,内裤,,,,,,,,,,,,,,,,
Saber,Saber,军刀,,,,,,,,,,,,,,,,
Bugle,Bugle,军号,,,,,,,,,,,,,,,,
Snare,Snare,军鼓,,,,,,,,,,,,,,,,
Farmer,Farmer,农民,,,,,,,,,,,,,,,,
Crown gear,Crown gear,冠状齿轮,,,,,,,,,,,,,,,,
Pluto,Pluto,冥王星,,,,,,,,,,,,,,,,
Winter,Winter,冬季,,,,,,,,,,,,,,,,
Ice,Ice,冰,,,,,,,,,,,,,,,,
Ice dance,Ice dance,冰上舞蹈,,,,,,,,,,,,,,,,
Ice cube,Ice cube,冰块,,,,,,,,,,,,,,,,
Curling,Curling,冰壶,,,,,,,,,,,,,,,,
Igloo,Igloo,冰屋,,,,,,,,,,,,,,,,
Iceberg,Iceberg,冰山,,,,,,,,,,,,,,,,
Glacier,Glacier,冰川,,,,,,,,,,,,,,,,
Crampons,Crampons,冰爪,,,,,,,,,,,,,,,,
Hockey,Hockey,冰球,,,,,,,,,,,,,,,,
Ice hockey,Ice hockey,冰球,,,,,,,,,,,,,,,,
Ice axe,Ice axe,冰镐,,,,,,,,,,,,,,,,
Surfboard,Surfboard,冲浪板,,,,,,,,,,,,,,,,
Surfer,Surfer,冲浪者,,,,,,,,,,,,,,,,
Hypoid,Hypoid,准双曲面齿轮,,,,,,,,,,,,,,,,
Sandal,Sandal,凉鞋,,,,,,,,,,,,,,,,
Minus,Minus,减,,,,,,,,,,,,,,,,
Subtract,Subtract,减,,,,,,,,,,,,,,,,
Phoenix,Phoenix,凤凰,,,,,,,,,,,,,,,,
Cockatoo,Cockatoo,凤头鹦鹉,,,,,,,,,,,,,,,,
Pineapple,Pineapple,凤梨,,,,,,,,,,,,,,,,
Celtic knot,Celtic knot,凯尔特结,,,,,,,,,,,,,,,,
Caiman,Caiman,凯门鳄,,,,,,,,,,,,,,,,
Stool,Stool,凳子,,,,,,,,,,,,,,,,
Chisel,Chisel,凿子,,,,,,,,,,,,,,,,
Knife,Knife,刀,,,,,,,,,,,,,,,,
Knife,Knife,刀子,,,,,,,,,,,,,,,,
Cent,Cent,分,,,,,,,,,,,,,,,,
Shift,Shift,切换键,,,,,,,,,,,,,,,,
Cutting board,Cutting board,切菜板,,,,,,,,,,,,,,,,
Leonardo,Leonardo,列奥那多,,,,,,,,,,,,,,,,
Delete,Delete,删除键,,,,,,,,,,,,,,,,
Carton,Carton,利乐包,,,,,,,,,,,,,,,,
Villa,Villa,别墅,,,,,,,,,,,,,,,,
Uniform,Uniform,制服,,,,,,,,,,,,,,,,
Tab,Tab,制表键,,,,,,,,,,,,,,,,
Brush,Brush,刷子,,,,,,,,,,,,,,,,
Hedgehog,Hedgehog,刺猬,,,,,,,,,,,,,,,,
Embroidery,Embroidery,刺绣,,,,,,,,,,,,,,,,
Agouti,Agouti,刺豚鼠,,,,,,,,,,,,,,,,
Cerberus,Cerberus,刻耳柏洛斯,,,,,,,,,,,,,,,,
Razor,Razor,剃刀,,,,,,,,,,,,,,,,
Shaver,Shaver,剃须刀,,,,,,,,,,,,,,,,
Shave brush,Shave brush,剃须刷,,,,,,,,,,,,,,,,
Peeler blade,Peeler blade,削皮刀,,,,,,,,,,,,,,,,
Peeler,Peeler,削皮器,,,,,,,,,,,,,,,,
Vambrace,Vambrace,前臂甲,,,,,,,,,,,,,,,,
Sword,Sword,剑,,,,,,,,,,,,,,,,
Scissors,Scissors,剪刀,,,,,,,,,,,,,,,,
Mower,Mower,割草机,,,,,,,,,,,,,,,,
Add,Add,加,,,,,,,,,,,,,,,,
Plus,Plus,加,,,,,,,,,,,,,,,,
Cannon,Cannon,加农炮,,,,,,,,,,,,,,,,
Crypto,Crypto,加密货币,,,,,,,,,,,,,,,,
Galata bridge,Galata bridge,加拉塔桥,,,,,,,,,,,,,,,,
Canada,Canada,加拿大,,,,,,,,,,,,,,,,
CN,CN,加拿大国家电视塔,,,,,,,,,,,,,,,,
Canada flag,Canada flag,加拿大国旗,,,,,,,,,,,,,,,,
Spoon,Spoon,勺子,,,,,,,,,,,,,,,,
Scooped,Scooped,勺形领,,,,,,,,,,,,,,,,
Grout,Grout,勾缝剂,,,,,,,,,,,,,,,,
Wrapper,Wrapper,包装纸,,,,,,,,,,,,,,,,
Parcel,Parcel,包裹,,,,,,,,,,,,,,,,
Dagger,Dagger,匕首,,,,,,,,,,,,,,,,
North,North,北,,,,,,,,,,,,,,,,
North,North,北极,,,,,,,,,,,,,,,,
Polar bear,Polar bear,北极熊,,,,,,,,,,,,,,,,
Kraken,Kraken,北海巨妖,,,,,,,,,,,,,,,,
Hospital,Hospital,医院,,,,,,,,,,,,,,,,
Eleven,Eleven,十一,,,,,,,,,,,,,,,,
Thirteen,Thirteen,十三,,,,,,,,,,,,,,,,
Nineteen,Nineteen,十九,,,,,,,,,,,,,,,,
Cross,Cross,十字,,,,,,,,,,,,,,,,
Cross,Cross,十字架,,,,,,,,,,,,,,,,
Crucifix,Crucifix,十字架,,,,,,,,,,,,,,,,
Decagon,Decagon,十边形,,,,,,,,,,,,,,,,
Lasagna,Lasagna,千层面,,,,,,,,,,,,,,,,
Jack,Jack,千斤顶,,,,,,,,,,,,,,,,
Crane origami,Crane origami,千纸鹤,,,,,,,,,,,,,,,,
Crane,Crane,千纸鹤,,,,,,,,,,,,,,,,
Lunchbox,Lunchbox,午餐盒,,,,,,,,,,,,,,,,
Centaur,Centaur,半人马,,,,,,,,,,,,,,,,
Radius,Radius,半径,,,,,,,,,,,,,,,,
Bust,Bust,半身像,,,,,,,,,,,,,,,,
Skirt,Skirt,半身裙,,,,,,,,,,,,,,,,
Lean-to,Lean-to,单坡屋顶,,,,,,,,,,,,,,,,
Bowline,Bowline,单套结,,,,,,,,,,,,,,,,
Monocle,Monocle,单片眼镜,,,,,,,,,,,,,,,,
Spyglass,Spyglass,单筒望远镜,,,,,,,,,,,,,,,,
Clarinet,Clarinet,单簧管,,,,,,,,,,,,,,,,
Monorail,Monorail,单轨列车,,,,,,,,,,,,,,,,
South,South,南,,,,,,,,,,,,,,,,
Antarctic,Antarctic,南极,,,,,,,,,,,,,,,,
South,South,南极,,,,,,,,,,,,,,,,
Pumpkin,Pumpkin,南瓜,,,,,,,,,,,,,,,,
Museum,Museum,博物馆,,,,,,,,,,,,,,,,
Karaoke mic,Karaoke mic,卡拉OK麦克风,,,,,,,,,,,,,,,,
Kenaz,Kenaz,卡纳兹,,,,,,,,,,,,,,,,
Kaunan,Kaunan,卡翁,,,,,,,,,,,,,,,,
Truck,Truck,卡车,,,,,,,,,,,,,,,,
Truck wheels,Truck wheels,卡车车轮,,,,,,,,,,,,,,,,
Carrick,Carrick,卡里克结,,,,,,,,,,,,,,,,
Rupee,Rupee,卢比,,,,,,,,,,,,,,,,
Louvre,Louvre,卢浮宫,,,,,,,,,,,,,,,,
Satellite,Satellite,卫星,,,,,,,,,,,,,,,,
Toilet paper,Toilet paper,卫生纸,,,,,,,,,,,,,,,,
India,India,印度,,,,,,,,,,,,,,,,
India flag,India flag,印度国旗,,,,,,,,,,,,,,,,
Curly,Curly,卷发,,,,,,,,,,,,,,,,
Hair,Hair,卷发器,,,,,,,,,,,,,,,,
Cabbage,Cabbage,卷心菜,,,,,,,,,,,,,,,,
Scroll,Scroll,卷轴,,,,,,,,,,,,,,,,
Burrito,Burrito,卷饼,,,,,,,,,,,,,,,,
Road,Road,压路机,,,,,,,,,,,,,,,,
Acoustic,Acoustic,原声吉他,,,,,,,,,,,,,,,,
Atomic,Atomic,原子钟,,,,,,,,,,,,,,,,
Chef,Chef,厨师,,,,,,,,,,,,,,,,
Chef hat,Chef hat,厨师帽,,,,,,,,,,,,,,,,
Kitchen,Kitchen,厨房,,,,,,,,,,,,,,,,
Fork spoon,Fork spoon,叉勺,,,,,,,,,,,,,,,,
Fork,Fork,叉子,,,,,,,,,,,,,,,,
Loveseat,Loveseat,双人沙发,,,,,,,,,,,,,,,,
Gemini,Gemini,双子座,,,,,,,,,,,,,,,,
Сhampignon,Сhampignon,双孢菇,,,,,,,,,,,,,,,,
Hands,Hands,双手,,,,,,,,,,,,,,,,
Duplex,Duplex,双拼住宅,,,,,,,,,,,,,,,,
Binoculars,Binoculars,双筒望远镜,,,,,,,,,,,,,,,,
Oboe,Oboe,双簧管,,,,,,,,,,,,,,,,
Amphora,Amphora,双耳瓶,,,,,,,,,,,,,,,,
Twins,Twins,双胞胎,,,,,,,,,,,,,,,,
Bicorn,Bicorn,双角帽,,,,,,,,,,,,,,,,
Wyvern,Wyvern,双足飞龙,,,,,,,,,,,,,,,,
Backgammon,Backgammon,双陆棋,,,,,,,,,,,,,,,,
Pisces,Pisces,双鱼座,,,,,,,,,,,,,,,,
Avocet,Avocet,反嘴鹬,,,,,,,,,,,,,,,,
Hair tie,Hair tie,发圈,,,,,,,,,,,,,,,,
Hairpin,Hairpin,发夹,,,,,,,,,,,,,,,,
Headband,Headband,发带,,,,,,,,,,,,,,,,
Hair ribbon,Hair ribbon,发带,,,,,,,,,,,,,,,,
Hairpin,Hairpin,发簪,,,,,,,,,,,,,,,,
Crumhorn,Crumhorn,变号管,,,,,,,,,,,,,,,,
Chameleon,Chameleon,变色龙,,,,,,,,,,,,,,,,
Harmonica,Harmonica,口琴,,,,,,,,,,,,,,,,
Lipstick,Lipstick,口红,,,,,,,,,,,,,,,,
Pocket,Pocket,口袋,,,,,,,,,,,,,,,,
Pocket comb,Pocket comb,口袋梳,,,,,,,,,,,,,,,,
Gum,Gum,口香糖,,,,,,,,,,,,,,,,
Snout,Snout,口鼻部,,,,,,,,,,,,,,,,
Codex,Codex,古籍手抄本,,,,,,,,,,,,,,,,
Jingle bell,Jingle bell,叮当铃,,,,,,,,,,,,,,,,
Cocoa,Cocoa,可可粉,,,,,,,,,,,,,,,,
Recycle,Recycle,可回收,,,,,,,,,,,,,,,,
Desktop,Desktop,台式机,,,,,,,,,,,,,,,,
Table lamp,Table lamp,台灯,,,,,,,,,,,,,,,,
Billiards,Billiards,台球,,,,,,,,,,,,,,,,
Foliage,Foliage,叶子,,,,,,,,,,,,,,,,
Shale,Shale,叶岩,,,,,,,,,,,,,,,,
Horn,Horn,号角,,,,,,,,,,,,,,,,
Scone,Scone,司康饼,,,,,,,,,,,,,,,,
Driver,Driver,司机,,,,,,,,,,,,,,,,
Choir,Choir,合唱团,,,,,,,,,,,,,,,,
Synthesizer,Synthesizer,合成器,,,,,,,,,,,,,,,,
Churro,Churro,吉事果,,,,,,,,,,,,,,,,
Guitar,Guitar,吉他,,,,,,,,,,,,,,,,
Gebo,Gebo,吉博,,,,,,,,,,,,,,,,
Jeep,Jeep,吉普车,,,,,,,,,,,,,,,,
Pendant,Pendant,吊坠,,,,,,,,,,,,,,,,
Hammock,Hammock,吊床,,,,,,,,,,,,,,,,
XNOR,XNOR,同或门,,,,,,,,,,,,,,,,
Queen,Queen,后,,,,,,,,,,,,,,,,
Toast,Toast,吐司,,,,,,,,,,,,,,,,
Up,Up,向上,,,,,,,,,,,,,,,,
Sunflower,Sunflower,向日葵,,,,,,,,,,,,,,,,
Bark,Bark,吠叫,,,,,,,,,,,,,,,,
Hearing,Hearing,听觉,,,,,,,,,,,,,,,,
Vacuum,Vacuum,吸尘器,,,,,,,,,,,,,,,,
Smoking,Smoking,吸烟,,,,,,,,,,,,,,,,
Straw,Straw,吸管,,,,,,,,,,,,,,,,
Vampire,Vampire,吸血鬼,,,,,,,,,,,,,,,,
Hairdryer,Hairdryer,吹风机,,,,,,,,,,,,,,,,
Croak,Croak,呱,,,,,,,,,,,,,,,,
Miso,Miso,味噌,,,,,,,,,,,,,,,,
Taste,Taste,味觉,,,,,,,,,,,,,,,,
Respirator,Respirator,呼吸器,,,,,,,,,,,,,,,,
Hula hoop,Hula hoop,呼啦圈,,,,,,,,,,,,,,,,
Purr,Purr,呼噜声,,,,,,,,,,,,,,,,
Kimono,Kimono,和服,,,,,,,,,,,,,,,,
Coffee,Coffee,咖啡,,,,,,,,,,,,,,,,
Caffeine,Caffeine,咖啡因,,,,,,,,,,,,,,,,
Coffee machine,Coffee machine,咖啡机,,,,,,,,,,,,,,,,
Coffee beans,Coffee beans,咖啡豆,,,,,,,,,,,,,,,,
Coffee bean,Coffee bean,咖啡豆,,,,,,,,,,,,,,,,
Cafe,Cafe,咖啡馆,,,,,,,,,,,,,,,,
Curry,Curry,咖喱,,,,,,,,,,,,,,,,
Bleat,Bleat,咩,,,,,,,,,,,,,,,,
Salty,Salty,咸味,,,,,,,,,,,,,,,,
Husky,Husky,哈士奇,,,,,,,,,,,,,,,,
Harpy,Harpy,哈耳庇厄,,,,,,,,,,,,,,,,
Dumbbell,Dumbbell,哑铃,,,,,,,,,,,,,,,,
Goblin,Goblin,哥布林,,,,,,,,,,,,,,,,
Godzilla,Godzilla,哥斯拉,,,,,,,,,,,,,,,,
Whistle,Whistle,哨子,,,,,,,,,,,,,,,,
Crying,Crying,哭泣,,,,,,,,,,,,,,,,
Cry,Cry,哭脸,,,,,,,,,,,,,,,,
Crying face,Crying face,哭脸,,,,,,,,,,,,,,,,
Shadbush,Shadbush,唐棣,,,,,,,,,,,,,,,,
Om,Om,唵,,,,,,,,,,,,,,,,
Saliva,Saliva,唾液,,,,,,,,,,,,,,,,
Goods,Goods,商品,,,,,,,,,,,,,,,,
Logo,Logo,商标,,,,,,,,,,,,,,,,
Caravan,Caravan,商队,,,,,,,,,,,,,,,,
Comedy,Comedy,喜剧片,,,,,,,,,,,,,,,,
Magpie,Magpie,喜鹊,,,,,,,,,,,,,,,,
Meow,Meow,喵,,,,,,,,,,,,,,,,
Fountain,Fountain,喷泉,,,,,,,,,,,,,,,,
Fountain salute,Fountain salute,喷泉礼炮,,,,,,,,,,,,,,,,
Smell,Smell,嗅觉,,,,,,,,,,,,,,,,
Quack,Quack,嘎,,,,,,,,,,,,,,,,
Lips,Lips,嘴唇,,,,,,,,,,,,,,,,
Howl,Howl,嚎叫,,,,,,,,,,,,,,,,
Gopher,Gopher,囊地鼠,,,,,,,,,,,,,,,,
Four,Four,四,,,,,,,,,,,,,,,,
FortyOne,FortyOne,四十一,,,,,,,,,,,,,,,,
Quad bike,Quad bike,四轮摩托车,,,,,,,,,,,,,,,,
Quartet,Quartet,四重奏,,,,,,,,,,,,,,,,
Recycle,Recycle,回收标志,,,,,,,,,,,,,,,,
Bin,Bin,回收站,,,,,,,,,,,,,,,,
Swirl,Swirl,回旋,,,,,,,,,,,,,,,,
Boomerang,Boomerang,回旋镖,,,,,,,,,,,,,,,,
Enter,Enter,回车键,,,,,,,,,,,,,,,,
Inuit,Inuit,因纽特人,,,,,,,,,,,,,,,,
