PrivacyAgreement01_general,"欢迎来到「词语纸牌接龙」！
为了向您提供更优质的游戏体验与相关服务，我们需要收集和使用您的部分个人信息。
在您开启这段禅意之旅前，请知悉：
我们将严格遵守相关法律法规，保障您的个人信息安全。
我们可能会收集设备信息（如设备型号、操作系统版本）、网络信息、游戏日志、等，用于游戏功能实现、服务优化、安全保障、广告投放（如适用）及合规要求。
您可以查阅我们的<href=https://mindwordplay.cn/ysxy>《隐私政策》</href>了解详细信息，包括我们如何收集、使用、存储和保护您的信息，以及您的相关权利。
您也需要同意我们的<href=https://mindwordplay.cn/yhxyb>《用户协议》</href>以使用本游戏。
请您仔细阅读并理解以上内容。您的同意对我们至关重要。","Welcome to Word Card Solitaire!
To provide you with a better game experience and related services, we need to collect and use some of your personal information.
Before you begin this peaceful journey, please note:
We will strictly comply with relevant laws and regulations to protect the security of your personal information.
We may collect device information (such as device model and operating system version), network information, game logs, and more for game functionality, service optimization, security protection, advertising delivery (where applicable), and compliance requirements.
You can read our <href=https://neoplaygame.com/privacy-policy>Privacy Policy</href> for more details, including how we collect, use, store, and protect your information, as well as your related rights.
You also need to agree to our <href=https://neoplaygame.com/terms-and-conditions>Terms of Service</href> to use this game.
Please read and understand the above carefully. Your consent is very important to us."
UserAgreement,"用户服务协议
1. 关于我们
感谢您选择使用我们的产品。
产品是由武汉市六方之物电子商务有限公司（以下简称“我们”或“六方之物”）提供与运营。
用户服务协议是六方之物与用户（以下简称“您”）关于使用我们产品所订立的有效协议。
 
2. 协议范围、目的及确认方式
本用户服务协议及附属协议，以及页面展示的单项协议或规则、操作提示（以下合称为“本协议”）是我们为您提供产品服务所依据的条款，不可分割，您需同时遵守。
请您仔细阅读本协议的全部内容，特别是字体加粗部分。
如您对本协议内容及页面提示信息有疑问，请勿进行下一步操作。如您使用我们的产品服务即视为您已阅读并同意本协议的约束。
如果您不同意本协议的任意内容，或无法准确理解条款内容，请停止使用，不要进行后续操作。
 
3. 使用本服务的要求
3.1 您具备完全民事行为能力，方可使用我们的产品，若您为无民事行为能力或为限制民事行为能力，请告知您的监护人，在您监护人的指导下阅读本协议，并在取得您监护人同意的前提下使用我们的产品；
3.2 您明确声明和保证：您具备足够的法律权利或授权来签署和履行本协议；您对于本协议的签署和履行不会对您须履行的任何其他协议、安排造成冲突或导致违约；
3.3 如您所属的国家或地区排除本协议的全部或部分内容，则您应立即停止使用我们的产品，否则，您继续使用我们的产品视为您同意承担相关的法律风险或法律责任。
 
4. 服务内容
该产品是六方之物通过互联网（含移动互联网）为您提供的服务平台，您可通过该平台体验文字消除的乐趣。
 
5. 用户使用规则
5.1 您使用您身份要素来进行的操作、发出的指令视为您本来做出，您应对您使用身份要素进行的所有行为产生的结果（包括但不限于签署各类协议、发布信息、支付购买商品及服务及披露信息等）负责，因您的原因造成的账户、密码等信息被冒用、盗用或非法使用，由此引起的风险和损失需要由您自行承担；
5.2 您在使用我们的产品时，请务必仔细填写并核对您的个人信息，确保其真实、准确、完整有效；
5.3 请您结合自身实际需求，充分考虑隐私协议、用户协议等信息，确认并选择使用我们的产品服务；
5.4 您知悉并同意，如因为您自身出现输入错误、操作不当、选择错误等情形，您需自行承担所受到的经济损失及后果。
 
6. 免责声明
六方之物基于互联网及电信网络提供服务，在您使用我们的产品之前，应对电子商务业务、网络可能蕴含的风险有一定的了解。 由于网络故障、系统检修、维护或不稳定，或黑客攻击，或电力部门技术调整或故障，或银行等原因，导致我们的服务存在失败、中断或延迟的，不是六方之物违约，但六方之物将尽一切努力恢复正常服务。 六方之物为技术服务平台仅按现状提供服务，在法律允许的范围内，六方之物对以下情形导致的服务中断、延迟受阻不承担责任：
（1） 受到计算机病毒、木马或其他恶意程序、黑客攻击的破坏；
（2） 您、第三方的电脑软件、系统、硬件、网络和通信线路出现故障；
（3） 您操作不当，包括但不限于提交错误的账户、个人信息，或程序出错；
（4） 其他六方之物无法控制或合理预见的情形。
 
7. 用户禁止性规定
您在使用本软件时必须遵守法律法规，不得利用本软件提供的服务从事违法违规行为，包括但不限于：
（1） 发布、传送、传播、存储危害国家安全统一、破坏社会稳定、违反公序良俗、侮辱、诽谤、淫秽、暴力以及任何违反国家法律法规的内容；
（2） 发布、传送、传播、存储侵害他人知识产权、商业秘密等合法权利的内容；
（3） 恶意虚构事实、隐瞒真相以误导、欺骗他人；
（4） 发布、传送、传播广告信息及垃圾信息；
（5） 其他法律法规禁止的行为。
如因您违反本条约定，导致任何第三方损害的，您应独立承担责任；六方之物因此遭受损失的，您也应当一并赔偿。
 
8. 对本协议的修订
六方之物有权在必要时修改本协议条款，您可以在本软件的最新版本中查阅相关协议条款。 更新后的协议条款一旦公布即代替原来的协议条款，我们会在服务页面上及时发布对本协议的变更。若对本协议的修订会严重影响您或严重限制您对本服务的访问或使用，我们会在变更之前的合理时间内通知您。对于为了满足安全、法律或监管要求而对本服务作出的修订，我们可能无法满足前述的预告时间要求，但我们会尽快通知您。
本协议条款变更后，如果您不接受修改后的协议，请立即停止使用本服务；如果您继续访问或使用本服务，即被视为您已接受修改后的协议。
 
9. 适用法律及管辖。
本协议的订立、执行、解释及争议的解决均适用中华人民共和国法律。
您同意，本协议签订地为中国湖北省武汉市洪山区。
在合同履行过程中双方如发生纠纷，应协商解决；协商不成的，双方应向协议签订地有管辖权的人民法院以诉讼的方式解决。
 
10. 联系我们
如您对本协议有任何疑问，请通过六方之物邮箱Lfzw2025@163.com联系我们。
 
生效日期：2025.8.20

","User Service Agreement
1. About Us
Thank you for choosing to use our product.
This User Service Agreement is a valid agreement entered into between Liufangzhiwu and users (hereinafter referred to as you) regarding the use of our product.
 
2. Scope, Purpose, and Confirmation of the Agreement
This User Service Agreement, its supplementary agreements, and any separate agreements or rules displayed on the pages, as well as operation tips (collectively referred to as this Agreement), are the terms on which we provide product services to you. They are inseparable and must be observed together.
Please read all contents of this Agreement carefully, especially the bolded parts.
If you have any questions about this Agreement or the page prompts, please do not proceed to the next step. If you use our product or services, you will be deemed to have read and agreed to be bound by this Agreement.
If you do not agree with any part of this Agreement, or cannot accurately understand its terms, please stop using the product and do not proceed with any follow-up actions.
 
3. Requirements for Using This Service
3.1 You must have full civil capacity to use our product. If you have no civil capacity or limited civil capacity, please inform your guardian, read this Agreement under your guardian's guidance, and use our product only after obtaining your guardian's consent;
3.2 You expressly state and warrant that you have sufficient legal rights or authorization to sign and perform this Agreement; your signing and performance of this Agreement will not conflict with or cause a breach of any other agreement or arrangement you are required to perform;
3.3 If the laws of your country or region exclude all or part of this Agreement, you shall immediately stop using our product. Otherwise, your continued use of our product will be deemed as your agreement to bear the relevant legal risks or liabilities.
 
5. Rules for User Conduct
5.1 Any actions performed or instructions issued using your identity credentials shall be deemed to have been made by you. You shall be responsible for all consequences arising from the use of your identity credentials (including but not limited to signing agreements, publishing information, paying for goods and services, and disclosing information). Any risks and losses caused by your account, password, or other information being impersonated, stolen, or illegally used due to reasons attributable to you shall be borne by you;
5.2 When using our product, please fill in and verify your personal information carefully to ensure it is true, accurate, complete, and valid;
5.3 Please consider your actual needs and carefully review information such as the Privacy Policy and User Agreement before confirming and choosing to use our product and services;
5.4 You acknowledge and agree that if you suffer any financial loss or consequences due to input errors, improper operations, wrong selections, or similar situations on your part, you shall bear them yourself.
 
6. Disclaimer
Before using our product, you should have a certain understanding of the risks that may exist in e-commerce and network services. Failures, interruptions, or delays in our services caused by network failures, system inspection, maintenance or instability, hacker attacks, technical adjustments or failures by power departments, banks, or other reasons do not constitute a breach by Liufangzhiwu, but Liufangzhiwu will make every effort to restore normal services. As a technical service platform, Liufangzhiwu provides services on an as-is basis only. To the extent permitted by law, Liufangzhiwu shall not be liable for service interruptions, delays, or obstacles caused by the following circumstances:
(1) Damage caused by computer viruses, Trojans or other malicious programs, or hacker attacks;
(2) Failures in your or a third party's computer software, system, hardware, network, or communication lines;
(3) Improper operations by you, including but not limited to submitting incorrect account or personal information, or program errors;
(4) Other circumstances beyond Liufangzhiwu's control or reasonable foresight.
 
7. Prohibited Conduct by Users
When using this software, you must comply with laws and regulations and may not use the services provided by this software to engage in illegal or non-compliant acts, including but not limited to:
(1) Publishing, transmitting, disseminating, or storing content that endangers national security and unity, undermines social stability, violates public order and good customs, is insulting, defamatory, obscene, violent, or otherwise violates national laws and regulations;
(2) Publishing, transmitting, disseminating, or storing content that infringes the legitimate rights and interests of others, such as intellectual property rights and trade secrets;
(3) Maliciously fabricating facts or concealing the truth to mislead or deceive others;
(4) Publishing, transmitting, or disseminating advertising information or spam;
(5) Other acts prohibited by laws and regulations.
If you violate this clause and cause any damage to any third party, you shall bear sole responsibility. If Liufangzhiwu suffers losses as a result, you shall also compensate for them in full.
 
8. Revisions to This Agreement
You may review the relevant terms in the latest version of this software. Once published, the updated terms will replace the original terms, and we will promptly post changes to this Agreement on the service page. If revisions to this Agreement materially affect you or significantly restrict your access to or use of the service, we will notify you within a reasonable period before the changes take effect. For revisions made to meet security, legal, or regulatory requirements, we may not be able to meet the foregoing advance notice period, but we will notify you as soon as possible.
After the terms of this Agreement are changed, if you do not accept the revised agreement, please stop using the service immediately; if you continue to access or use the service, you will be deemed to have accepted the revised agreement.
 
9. Governing Law and Jurisdiction
The formation, execution, interpretation, and dispute resolution of this Agreement shall be governed by the laws of the People's Republic of China.
You agree that the place of signing of this Agreement is Hongshan District, Wuhan City, Hubei Province, China.
If any dispute arises during the performance of this Agreement, both parties shall first resolve it through negotiation. If negotiation fails, both parties shall bring a lawsuit before the people's court with jurisdiction at the place where the Agreement is signed.
 
Effective Date: 2025.8.20"
UserPrivacyPolicy,"用户隐私协议
该产品 是由 武汉市六方之物电子商务有限公司 （以下简称“我们”）为您提供的，用于休闲娱乐的游戏应用。本隐私声明由我们为处理您的个人信息而制定。
我们非常重视您的个人信息和隐私保护，将会按照法律要求和业界成熟的安全标准，为您的个人信息提供相应的安全保护措施。
 
1. 我们如何收集和使用您的个人信息
我们仅在有合法性基础的情形下才会使用您的个人信息。根据适用的法律，我们可能会基于您的同意、为履行/订立您与我们的合同所必需、履行法定义务所必需等合法性基础，使用您的个人信息。
基于履行法定义务或其他法律法规规定的情形，我们可能会处理您的以下个人信息：
为了用于分析，在获取您的同意后我们需要收集您的游戏账号信息、IP归属地、 用户标识符、 游戏数据、 软硬件参数/系统设置、 操作系统信息、 设备状态、 WIFI状态、 网络类型、 IP地址、 应用使用信息、 应用基本信息、 应用运行状态、 应用运行日志 。
我们的游戏集成了 ThinkingData 提供的 ThinkingAnalytics SDK，用于统计分析用户行为、优化产品体验。
ThinkingAnalytics SDK 除上述信息外还会收集以下信息： 设备标识符（如 ANDROID ID）
 
2. 管理您的个人信息
如您对您的数据主体权利有进一步要求或存在任何疑问、意见或建议，可通过本声明中“如何联系我们”章节中所述方式与我们取得联系，并行使您的相关权利。
 
3. 信息存储地点及期限
3.1 我们承诺，除法律法规另有规定外，我们对您的信息的保存期限应当为实现处理目的所必要的最短时间。
3.2 上述信息将会传输并保存至中国境内的服务器。
 
4. 如何联系我们
您可通过以下方式联系我们，并行使您的相关权利，我们会尽快回复。
邮箱：Lfzw2025@163.com
如果您对我们的回复不满意, 特别是当个人信息处理行为损害了您的合法权益时您还可以通过向有管辖权的人民法院提起诉讼、向行业自律协会或政府相关管理机构投诉等外部途径进行解决。 您也可以向我们了解可能适用的相关投诉途径的信息。
 
生效日期：2025.8.20","User Privacy Policy
This privacy statement is formulated by us for the processing of your personal information.
We attach great importance to the protection of your personal information and privacy, and we will provide appropriate security measures for your personal information in accordance with legal requirements and mature industry security standards.
 
1. How We Collect and Use Your Personal Information
We only use your personal information when there is a lawful basis to do so. Under applicable laws, we may use your personal information based on your consent, when necessary for the performance or conclusion of a contract between you and us, when necessary to fulfill legal obligations, or on other lawful bases.
Based on the performance of legal obligations or other circumstances stipulated by laws and regulations, we may process the following personal information:
For analytics purposes, after obtaining your consent, we need to collect your game account information, IP region, user identifier, game data, software and hardware parameters or system settings, operating system information, device status, WiFi status, network type, IP address, app usage information, basic app information, app running status, and app running logs.
Our game integrates the ThinkingAnalytics SDK provided by ThinkingData to analyze user behavior and optimize the product experience.
In addition to the above information, the ThinkingAnalytics SDK will also collect the following information: device identifiers (such as ANDROID ID)
 
2. Managing Your Personal Information
If you have further requests regarding your data subject rights or have any questions, comments, or suggestions, you may contact us as described in the How to Contact Us section of this statement to exercise your related rights.
 
3. Data Storage Location and Retention Period
3.1 We promise that, unless otherwise required by laws and regulations, we will retain your information for the shortest period necessary to achieve the purpose of processing.
3.2 The above information will be transmitted to and stored on servers located within China.
 

If you are not satisfied with our reply, especially if our personal information processing has harmed your legitimate rights and interests, you may also resolve the issue through external channels such as filing a lawsuit with a competent people's court, filing a complaint with an industry self-regulatory association, or filing a complaint with the relevant government authorities. You may also contact us to learn about any applicable complaint channels.
 
Effective Date: 2025.8.20"
EvaluateButton01,下次再说,Maybe Later
EvaluateButton02,关闭,Close
EvaluateButton03,反 馈,Feedback
limitedRewardsDes06,连出{0}个成语就能获得下一份奖励！,Chain {0} idioms to earn the next reward!
TimeD,日,Day
TimeH,时,Hour
TimeM,分,Minute
ShopBoxName01,初级语汇锦囊,Beginner Vocabulary Pouch
ShopBoxName02,中级智慧宝盒,Intermediate Wisdom Box
ShopBoxName03,上级成语宝库,Advanced Idiom Vault
ShopBoxName04,超级珠玉盛宴,Super Gem Feast
ShopBoxName05,7日免广告豪礼,7-Day Ad-Free Gift Pack
ShopBoxName06,免广告豪礼,Ad-Free Gift Pack
ShopBoxName07,限时宝箱,Limited-Time Chest
RemoveADName,去广告 + 200金币,Remove Ads + 200 Coins
RemoveAD7DaysName,移除7天内的强制广告,Remove forced ads for 7 days
RemoveADDes,去除游戏中激励视频以外的所有广告,Remove all ads in the game except rewarded videos
RemoveAD7DaysPointDes,此去广告功能仅在7天内有效,This ad removal is only valid for 7 days
RemoveADPointDes,永久去除本游戏中激励视频以外的所有广告,Permanently remove all ads in this game except rewarded videos
ShopDiscount,OFF,OFF
RemoveADName02,去广告,Remove Ads
RemoveADSign01,剩余 {0} 天,{0} days left
RemoveADSign02,永久版,Permanent
RestorePurchases,恢复购买,Restore Purchases
RestorePurchasesTips01,操作超时，请检查网络链接！,Request timed out. Please check your network connection!
RestorePurchasesTips02,当前账号没有可恢复购买的产品,There are no restorable purchases on this account
RestorePurchasesTips03,恢复成功！,Restore successful!
RestorePurchasesTips04,恢复失败！,Restore failed!
CharacterInfoTitle,角色信息,Character Info
CharacterInfoAvatar,头像,Avatar
UIConfirm,确定,Confirm
CharacterInfoTips01,名称含有不当用语\n请修改后重新提交,The name contains inappropriate language\nPlease modify it and submit again
EntranceUITitle,游戏模式,Game Modes
EntranceUIName01,成语消,Idiom Match
EntranceUIName02,成语填字,Idiom Fill-In
EntranceUIName03,层层消,Layer Match
PromotionalText01,点击前往下载,Tap to Download
RestartBtn,重新开始,Restart
Item,道具,Item
RecallItem,撤回道具,Recall Item
HintItem,提示道具,Hint Item
Completed,已完成,Completed
Unstoppable,势不可挡！,Unstoppable!
loadText01,“玩分类就像理乱麻，抽丝剥茧，心自清明。”,"Playing classification is like untangling a knot; as the threads come free, so does the mind."
loadText02,“消除的不是牌堆，是脑海里的杂乱无章。”,"What disappears is not just the pile of cards, but the clutter in your mind."
loadText03,“焦虑的时候，把词语送回它们的家，心就定了。”,"When anxiety rises, send each word back home and your heart will settle."
loadText04,“词语像迷路的孩子，碎片时间帮它们归队，静待圆满。”,Words are like lost children; use spare moments to help them find their way back and wait for wholeness.
loadText05,“今天理顺的逻辑，是明日出口成章的底气。”,The logic you sort out today becomes tomorrow's confidence in speaking with ease.
loadText06,“分类是思维的断舍离，同色相连处自有乾坤。”,"Classification is decluttering for the mind; where like colors connect, a whole world unfolds."
loadText07,“玩分类给脑子大扫除，方寸牌桌修秩序。”,Playing classification gives your mind a deep clean and restores order on the tabletop.
loadText08,“加载的不是进度，是一次次思维的归位。”,"What is loading is not progress,but your thoughts returning to order again and again."
loadText09,“思路越理越顺，牌堆越消越轻。”,"The clearer your thinking becomes, the lighter the card pile grows."
loadText10,“万物各归其类，正如你此刻内心的井然有序。”,"Everything returns to its proper kind, just like the order in your heart right now."
loadText11,“每天理顺三十分钟，你会睡得更踏实。”,"Spend thirty minutes sorting things out each day, and you will sleep more soundly."
loadText101,——《词语纸牌接龙》,—— 《Word Card Solitaire》
